

|    |Country     |IT Job                    |Statistic |  Value|Currency |
|324 |Hungary     |Senior Data Engineer      |MIN       | 151925|USD      |
|325 |Hungary     |Senior Data Engineer      |STD       |      0|USD      |
|326 |Hungary     |Senior Data Scientist     |MAX       | 162225|USD      |
|327 |Hungary     |Senior Data Scientist     |MEAN      | 115257|USD      |
|328 |Hungary     |Senior Data Scientist     |MEDIAN    |  91773|USD      |
|329 |Hungary     |Senior Data Scientist     |MIN       |  91773|USD      |
|330 |Hungary     |Senior Data Scientist     |STD       |  40675|USD      |
|331 |Hungary     |Software Engineer         |MAX       |  91773|USD      |
|332 |Hungary     |Software Engineer         |MEAN      |  72962|USD      |
|333 |Hungary     |Software Engineer         |MEDIAN    |  70838|USD      |
|334 |Hungary     |Software Engineer         |MIN       |  58401|USD      |
|335 |Hungary     |Software Engineer         |STD       |  17168|USD      |
|336 |Ireland     |Data Analyst              |MAX       | 200335|USD      |
|337 |Ireland     |Data Analyst              |MEAN      | 106422|USD      |
|338 |Ireland     |Data Analyst              |MEDIAN    | 101455|USD      |
|339 |Ireland     |Data Analyst              |MIN       |  44496|USD      |
|340 |Ireland     |Data Analyst              |STD       |  40409|USD      |
|341 |Ireland     |Data Engineer             |MAX       | 151925|USD      |
|342 |Ireland     |Data Engineer             |MEAN      | 133707|USD      |
|343 |Ireland     |Data Engineer             |MEDIAN    | 151925|USD      |
|344 |Ireland     |Data Engineer             |MIN       |  91773|USD      |
|345 |Ireland     |Data Engineer             |STD       |  27430|USD      |
|346 |Ireland     |Data Scientist            |MAX       | 171412|USD      |
|347 |Ireland     |Data Scientist            |MEAN      | 114941|USD      |
|348 |Ireland     |Data Scientist            |MEDIAN    | 105111|USD      |
|349 |Ireland     |Data Scientist            |MIN       |  55018|USD      |
|350 |Ireland     |Data Scientist            |STD       |  45052|USD      |
|351 |Ireland     |Machine Learning Engineer |MAX       | 170980|USD      |
|352 |Ireland     |Machine Learning Engineer |MEAN      | 139441|USD      |
|353 |Ireland     |Machine Learning Engineer |MEDIAN    | 170980|USD      |
|354 |Ireland     |Machine Learning Engineer |MIN       |  75087|USD      |
|355 |Ireland     |Machine Learning Engineer |STD       |  44836|USD      |
|356 |Ireland     |Senior Data Analyst       |MAX       | 200335|USD      |
|357 |Ireland     |Senior Data Analyst       |MEAN      | 132368|USD      |
|358 |Ireland     |Senior Data Analyst       |MEDIAN    | 121684|USD      |
|359 |Ireland     |Senior Data Analyst       |MIN       |  75087|USD      |
|360 |Ireland     |Senior Data Analyst       |STD       |  63303|USD      |
|361 |Ireland     |Senior Data Engineer      |MAX       | 160680|USD      |
|362 |Ireland     |Senior Data Engineer      |MEAN      | 143358|USD      |
|363 |Ireland     |Senior Data Engineer      |MEDIAN    | 151925|USD      |
|364 |Ireland     |Senior Data Engineer      |MIN       |  91773|USD      |
|365 |Ireland     |Senior Data Engineer      |STD       |  25513|USD      |
|366 |Ireland     |Senior Data Scientist     |MAX       | 171412|USD      |
|367 |Ireland     |Senior Data Scientist     |MEAN      | 162848|USD      |
|368 |Ireland     |Senior Data Scientist     |MEDIAN    | 166602|USD      |
|369 |Ireland     |Senior Data Scientist     |MIN       | 146775|USD      |
|370 |Ireland     |Senior Data Scientist     |STD       |  11521|USD      |
|371 |Ireland     |Software Engineer         |MAX       |  91773|USD      |
|372 |Ireland     |Software Engineer         |MEAN      |  91773|USD      |
|373 |Ireland     |Software Engineer         |MEDIAN    |  91773|USD      |
|374 |Ireland     |Software Engineer         |MIN       |  91773|USD      |
|375 |Italy       |Business Analyst          |MAX       |  44496|USD      |
|376 |Italy       |Business Analyst          |MEAN      |  44496|USD      |
|377 |Italy       |Business Analyst          |MEDIAN    |  44496|USD      |
|378 |Italy       |Business Analyst          |MIN       |  44496|USD      |
|379 |Italy       |Data Analyst              |MAX       | 114510|USD      |
|380 |Italy       |Data Analyst              |MEAN      |  76018|USD      |
|381 |Italy       |Data Analyst              |MEDIAN    |  54604|USD      |
|382 |Italy       |Data Analyst              |MIN       |  46350|USD      |
|383 |Italy       |Data Analyst              |STD       |  27551|USD      |
|384 |Italy       |Data Engineer             |MAX       | 158620|USD      |
|385 |Italy       |Data Engineer             |MEAN      | 114987|USD      |
|386 |Italy       |Data Engineer             |MEDIAN    | 100367|USD      |
|387 |Italy       |Data Engineer             |MIN       |  91773|USD      |
|388 |Italy       |Data Engineer             |STD       |  26174|USD      |
|389 |Italy       |Data Scientist            |MAX       | 162225|USD      |
|390 |Italy       |Data Scientist            |MEAN      |  99787|USD      |
|391 |Italy       |Data Scientist            |MEDIAN    |  91272|USD      |
|392 |Italy       |Data Scientist            |MIN       |  58401|USD      |
|393 |Italy       |Data Scientist            |STD       |  38450|USD      |
|394 |Italy       |Machine Learning Engineer |MAX       | 107808|USD      |
|395 |Italy       |Machine Learning Engineer |MEAN      |  91556|USD      |
|396 |Italy       |Machine Learning Engineer |MEDIAN    |  91773|USD      |
|397 |Italy       |Machine Learning Engineer |MIN       |  75087|USD      |
|398 |Italy       |Machine Learning Engineer |STD       |  16361|USD      |
|399 |Italy       |Senior Data Analyst       |MAX       | 114510|USD      |
|400 |Italy       |Senior Data Analyst       |MEAN      | 106931|USD      |
|401 |Italy       |Senior Data Analyst       |MEDIAN    | 114510|USD      |
|402 |Italy       |Senior Data Analyst       |MIN       |  91773|USD      |
|403 |Italy       |Senior Data Analyst       |STD       |  13127|USD      |
|404 |Italy       |Senior Data Scientist     |MAX       | 108459|USD      |
|405 |Italy       |Senior Data Scientist     |MEAN      |  85902|USD      |
|406 |Italy       |Senior Data Scientist     |MEDIAN    |  75087|USD      |
|407 |Italy       |Senior Data Scientist     |MIN       |  74160|USD      |
|408 |Italy       |Senior Data Scientist     |STD       |  19540|USD      |
|409 |Italy       |Software Engineer         |MAX       | 108819|USD      |
|410 |Italy       |Software Engineer         |MEAN      |  96897|USD      |
|411 |Italy       |Software Engineer         |MEDIAN    |  96897|USD      |
|412 |Italy       |Software Engineer         |MIN       |  84975|USD      |
|413 |Italy       |Software Engineer         |STD       |  16860|USD      |
|414 |Netherlands |Business Analyst          |MAX       | 108459|USD      |
|415 |Netherlands |Business Analyst          |MEAN      |  88374|USD      |
|416 |Netherlands |Business Analyst          |MEDIAN    |  91773|USD      |
|417 |Netherlands |Business Analyst          |MIN       |  64890|USD      |
|418 |Netherlands |Business Analyst          |STD       |  21982|USD      |
|419 |Netherlands |Data Analyst              |MAX       | 182601|USD      |
|420 |Netherlands |Data Analyst              |MEAN      | 101226|USD      |
|421 |Netherlands |Data Analyst              |MEDIAN    |  96667|USD      |
|422 |Netherlands |Data Analyst              |MIN       |  54604|USD      |
|423 |Netherlands |Data Analyst              |STD       |  34295|USD      |
|424 |Netherlands |Data Engineer             |MAX       | 180250|USD      |
|425 |Netherlands |Data Engineer             |MEAN      | 110828|USD      |
|426 |Netherlands |Data Engineer             |MEDIAN    | 100367|USD      |
|427 |Netherlands |Data Engineer             |MIN       |  91773|USD      |
|428 |Netherlands |Data Engineer             |STD       |  25754|USD      |
|429 |Netherlands |Data Scientist            |MAX       | 175692|USD      |
|430 |Netherlands |Data Scientist            |MEAN      | 139444|USD      |
|431 |Netherlands |Data Scientist            |MEDIAN    | 162225|USD      |
|432 |Netherlands |Data Scientist            |MIN       |  91773|USD      |
|433 |Netherlands |Data Scientist            |STD       |  32089|USD      |
|434 |Netherlands |Machine Learning Engineer |MAX       | 231750|USD      |
|435 |Netherlands |Machine Learning Engineer |MEAN      | 130333|USD      |
|436 |Netherlands |Machine Learning Engineer |MEDIAN    | 126484|USD      |
|437 |Netherlands |Machine Learning Engineer |MIN       |  71070|USD      |
|438 |Netherlands |Machine Learning Engineer |STD       |  54568|USD      |
|439 |Netherlands |Senior Data Analyst       |MAX       | 114510|USD      |
|440 |Netherlands |Senior Data Analyst       |MEAN      | 114510|USD      |
|441 |Netherlands |Senior Data Analyst       |MEDIAN    | 114510|USD      |
|442 |Netherlands |Senior Data Analyst       |MIN       | 114510|USD      |
|443 |Netherlands |Senior Data Engineer      |MAX       | 160165|USD      |
|444 |Netherlands |Senior Data Engineer      |MEAN      | 141542|USD      |
|445 |Netherlands |Senior Data Engineer      |MEDIAN    | 151925|USD      |
|446 |Netherlands |Senior Data Engineer      |MIN       |  91773|USD      |
|447 |Netherlands |Senior Data Engineer      |STD       |  28049|USD      |
|448 |Netherlands |Senior Data Scientist     |MAX       | 162225|USD      |
|449 |Netherlands |Senior Data Scientist     |MEAN      | 129745|USD      |
|450 |Netherlands |Senior Data Scientist     |MEDIAN    | 151925|USD      |
|451 |Netherlands |Senior Data Scientist     |MIN       |  75087|USD      |
|452 |Netherlands |Senior Data Scientist     |STD       |  47615|USD      |
|453 |Netherlands |Software Engineer         |MAX       | 191065|USD      |
|454 |Netherlands |Software Engineer         |MEAN      | 113746|USD      |
|455 |Netherlands |Software Engineer         |MEDIAN    |  91773|USD      |
|456 |Netherlands |Software Engineer         |MIN       |  58401|USD      |
|457 |Netherlands |Software Engineer         |STD       |  69007|USD      |
|458 |Poland      |Business Analyst          |MAX       | 158105|USD      |
|459 |Poland      |Business Analyst          |MEAN      |  90131|USD      |
|460 |Poland      |Business Analyst          |MEDIAN    |  89661|USD      |
