country,job,param,aval,parameter
Sweden,Data Engineer,med,137.9,MED
Sweden,Data Scientist,med,162.2,MED
Sweden,Machine Learning Engineer,med,145.2,MED
Sweden,Senior Data Analyst,med,114.5,MED
Sweden,Senior Data Engineer,med,151.9,MED
Sweden,Senior Data Scientist,med,175.6,MED
Sweden,Software Engineer,med,161.2,MED
Belgium,Business Analyst,qr3,91.8,QR3
Belgium,Data Analyst,qr3,128.1,QR3
Belgium,Data Engineer,qr3,130.9,QR3
Belgium,Data Scientist,qr3,162.2,QR3
Belgium,Machine Learning Engineer,qr3,91.8,QR3
Belgium,Senior Data Engineer,qr3,91.8,QR3
Belgium,Senior Data Scientist,qr3,91.8,QR3
Belgium,Software Engineer,qr3,67.8,QR3
Denmark,Data Analyst,qr3,91.8,QR3
Denmark,Data Engineer,qr3,138.9,QR3
Denmark,Data Scientist,qr3,139.9,QR3
Denmark,Machine Learning Engineer,qr3,155.3,QR3
Denmark,Senior Data Engineer,qr3,151.9,QR3
Finland,Data Analyst,qr3,128.8,QR3
Finland,Data Engineer,qr3,99.7,QR3
Finland,Data Scientist,qr3,134.1,QR3
Finland,Machine Learning Engineer,qr3,176,QR3
Finland,Senior Data Analyst,qr3,114.5,QR3
Finland,Senior Data Engineer,qr3,106,QR3
Finland,Senior Data Scientist,qr3,144.4,QR3
Finland,Software Engineer,qr3,77.2,QR3
France,Business Analyst,qr3,103.1,QR3
France,Cloud Engineer,qr3,109.1,QR3
France,Data Analyst,qr3,114.5,QR3
France,Data Engineer,qr3,151.9,QR3
France,Data Scientist,qr3,144.7,QR3
France,Machine Learning Engineer,qr3,108.2,QR3
France,Senior Data Analyst,qr3,114.5,QR3
France,Senior Data Engineer,qr3,151.9,QR3
France,Senior Data Scientist,qr3,162.2,QR3
France,Software Engineer,qr3,186.7,QR3
Germany,Business Analyst,qr3,91.8,QR3
Germany,Cloud Engineer,qr3,148.9,QR3
Germany,Data Analyst,qr3,114.5,QR3
Germany,Data Engineer,qr3,151.9,QR3
Germany,Data Scientist,qr3,162.2,QR3
Germany,Machine Learning Engineer,qr3,171,QR3
Germany,Senior Data Analyst,qr3,114.5,QR3
Germany,Senior Data Engineer,qr3,151.9,QR3
Germany,Senior Data Scientist,qr3,162.2,QR3
Germany,Software Engineer,qr3,91.8,QR3
Greece,Business Analyst,qr3,70,QR3
Greece,Data Analyst,qr3,143.3,QR3
Greece,Data Engineer,qr3,106.8,QR3
Greece,Data Scientist,qr3,110.4,QR3
Greece,Machine Learning Engineer,qr3,155.2,QR3
Greece,Senior Data Engineer,qr3,46.4,QR3
Greece,Senior Data Scientist,qr3,145,QR3
Greece,Software Engineer,qr3,111.2,QR3
Hungary,Cloud Engineer,qr3,91.8,QR3
Hungary,Data Analyst,qr3,107.5,QR3
Hungary,Data Engineer,qr3,151.9,QR3
Hungary,Data Scientist,qr3,108.5,QR3
Hungary,Machine Learning Engineer,qr3,171,QR3
Hungary,Senior Data Analyst,qr3,91.1,QR3
Hungary,Senior Data Engineer,qr3,151.9,QR3
Hungary,Senior Data Scientist,qr3,127,QR3
Hungary,Software Engineer,qr3,85.4,QR3
Ireland,Data Analyst,qr3,114.5,QR3
Ireland,Data Engineer,qr3,151.9,QR3
Ireland,Data Scientist,qr3,151.3,QR3
Ireland,Machine Learning Engineer,qr3,171,QR3
Ireland,Senior Data Analyst,qr3,161,QR3
Ireland,Senior Data Engineer,qr3,151.9,QR3
Ireland,Senior Data Scientist,qr3,171.1,QR3
Ireland,Software Engineer,qr3,91.8,QR3
Italy,Business Analyst,qr3,44.5,QR3
Italy,Data Analyst,qr3,104.5,QR3
Italy,Data Engineer,qr3,139.6,QR3
Italy,Data Scientist,qr3,127.1,QR3
Italy,Machine Learning Engineer,qr3,99.8,QR3
Italy,Senior Data Analyst,qr3,114.5,QR3
Italy,Senior Data Scientist,qr3,91.8,QR3
Italy,Software Engineer,qr3,102.9,QR3
Netherlands,Business Analyst,qr3,100.1,QR3
Netherlands,Data Analyst,qr3,114.5,QR3
Netherlands,Data Engineer,qr3,110.6,QR3
Netherlands,Data Scientist,qr3,162.2,QR3
Netherlands,Machine Learning Engineer,qr3,171,QR3
Netherlands,Senior Data Analyst,qr3,114.5,QR3
Netherlands,Senior Data Engineer,qr3,151.9,QR3
