country,paramcd,job,aval,avalu,srcdom,paramtyp
Greece,MEDIAN,Data Analyst,102485,USD,DATA JOBS,
Greece,MIN,Data Analyst,54604,USD,DATA JOBS,
Greece,STD,Data Analyst,41499,USD,DATA JOBS,
Greece,MAX,Data Engineer,151925,USD,DATA JOBS,
Greece,MEAN,Data Engineer,100228,USD,DATA JOBS,
Greece,MEDIAN,Data Engineer,99676,USD,DATA JOBS,
Greece,MIN,Data Engineer,46350,USD,DATA JOBS,
Greece,STD,Data Engineer,33161,USD,DATA JOBS,
Greece,MAX,Data Scientist,176254,USD,DATA JOBS,
Greece,MEAN,Data Scientist,100451,USD,DATA JOBS,
Greece,MEDIAN,Data Scientist,92581,USD,DATA JOBS,
Greece,MIN,Data Scientist,52600,USD,DATA JOBS,
Greece,STD,Data Scientist,31728,USD,DATA JOBS,
Greece,MAX,Machine Learning Engineer,182601,USD,DATA JOBS,
Greece,MEAN,Machine Learning Engineer,118965,USD,DATA JOBS,
Greece,MEDIAN,Machine Learning Engineer,104059,USD,DATA JOBS,
Greece,MIN,Machine Learning Engineer,75087,USD,DATA JOBS,
Greece,STD,Machine Learning Engineer,37173,USD,DATA JOBS,
Greece,MAX,Senior Data Engineer,46350,USD,DATA JOBS,
Greece,MEAN,Senior Data Engineer,46350,USD,DATA JOBS,
Greece,MEDIAN,Senior Data Engineer,46350,USD,DATA JOBS,
Greece,MIN,Senior Data Engineer,46350,USD,DATA JOBS,
Greece,MAX,Senior Data Scientist,206000,USD,DATA JOBS,
Greece,MEAN,Senior Data Scientist,117020,USD,DATA JOBS,
Greece,MEDIAN,Senior Data Scientist,91863,USD,DATA JOBS,
Greece,MIN,Senior Data Scientist,75087,USD,DATA JOBS,
Greece,STD,Senior Data Scientist,54310,USD,DATA JOBS,
Greece,MAX,Software Engineer,161195,USD,DATA JOBS,
Greece,MEAN,Software Engineer,93755,USD,DATA JOBS,
Greece,MEDIAN,Software Engineer,83430,USD,DATA JOBS,
Greece,MIN,Software Engineer,58401,USD,DATA JOBS,
Greece,STD,Software Engineer,39931,USD,DATA JOBS,
Hungary,MAX,Cloud Engineer,91773,USD,DATA JOBS,
Hungary,MEAN,Cloud Engineer,91773,USD,DATA JOBS,
Hungary,MEDIAN,Cloud Engineer,91773,USD,DATA JOBS,
Hungary,MIN,Cloud Engineer,91773,USD,DATA JOBS,
Hungary,MAX,Data Analyst,159650,USD,DATA JOBS,
Hungary,MEAN,Data Analyst,90438,USD,DATA JOBS,
Hungary,MEDIAN,Data Analyst,83275,USD,DATA JOBS,
Hungary,MIN,Data Analyst,51053,USD,DATA JOBS,
Hungary,STD,Data Analyst,32702,USD,DATA JOBS,
Hungary,MAX,Data Engineer,151925,USD,DATA JOBS,
Hungary,MEAN,Data Engineer,136830,USD,DATA JOBS,
Hungary,MEDIAN,Data Engineer,151925,USD,DATA JOBS,
Hungary,MIN,Data Engineer,99676,USD,DATA JOBS,
Hungary,STD,Data Engineer,21557,USD,DATA JOBS,
Hungary,MAX,Data Scientist,162225,USD,DATA JOBS,
Hungary,MEAN,Data Scientist,100688,USD,DATA JOBS,
Hungary,MEDIAN,Data Scientist,91773,USD,DATA JOBS,
Hungary,MIN,Data Scientist,58401,USD,DATA JOBS,
Hungary,STD,Data Scientist,38032,USD,DATA JOBS,
Hungary,MAX,Machine Learning Engineer,191065,USD,DATA JOBS,
Hungary,MEAN,Machine Learning Engineer,112424,USD,DATA JOBS,
Hungary,MEDIAN,Machine Learning Engineer,83275,USD,DATA JOBS,
Hungary,MIN,Machine Learning Engineer,58401,USD,DATA JOBS,
Hungary,STD,Machine Learning Engineer,63835,USD,DATA JOBS,
Hungary,MAX,Senior Data Analyst,91773,USD,DATA JOBS,
Hungary,MEAN,Senior Data Analyst,90382,USD,DATA JOBS,
Hungary,MEDIAN,Senior Data Analyst,90382,USD,DATA JOBS,
Hungary,MIN,Senior Data Analyst,88992,USD,DATA JOBS,
Hungary,STD,Senior Data Analyst,1966,USD,DATA JOBS,
Hungary,MAX,Senior Data Engineer,151925,USD,DATA JOBS,
Hungary,MEAN,Senior Data Engineer,151925,USD,DATA JOBS,
Hungary,MEDIAN,Senior Data Engineer,151925,USD,DATA JOBS,
Hungary,MIN,Senior Data Engineer,151925,USD,DATA JOBS,
Hungary,STD,Senior Data Engineer,0,USD,DATA JOBS,
Hungary,MAX,Senior Data Scientist,162225,USD,DATA JOBS,
Hungary,MEAN,Senior Data Scientist,115257,USD,DATA JOBS,
Hungary,MEDIAN,Senior Data Scientist,91773,USD,DATA JOBS,
Hungary,MIN,Senior Data Scientist,91773,USD,DATA JOBS,
Hungary,STD,Senior Data Scientist,40675,USD,DATA JOBS,
Hungary,MAX,Software Engineer,91773,USD,DATA JOBS,
Hungary,MEAN,Software Engineer,72962,USD,DATA JOBS,
Hungary,MEDIAN,Software Engineer,70838,USD,DATA JOBS,
Hungary,MIN,Software Engineer,58401,USD,DATA JOBS,
Hungary,STD,Software Engineer,17168,USD,DATA JOBS,
Ireland,MAX,Data Analyst,200335,USD,DATA JOBS,
Ireland,MEAN,Data Analyst,106422,USD,DATA JOBS,
Ireland,MEDIAN,Data Analyst,101455,USD,DATA JOBS,
Ireland,MIN,Data Analyst,44496,USD,DATA JOBS,
Ireland,STD,Data Analyst,40409,USD,DATA JOBS,
Ireland,MAX,Data Engineer,151925,USD,DATA JOBS,
Ireland,MEAN,Data Engineer,133707,USD,DATA JOBS,
Ireland,MEDIAN,Data Engineer,151925,USD,DATA JOBS,
Ireland,MIN,Data Engineer,91773,USD,DATA JOBS,
Ireland,STD,Data Engineer,27430,USD,DATA JOBS,
